ticker,fiscal_year,exploitable,raison_non_exploitable,date_annonce,date_ex,date_paiement,montant,yield_pct,source_montant,n_ex_div_doublons_ignores,prix_annonce,prix_veille_ex,prix_jour_ex,prix_paiement,variation_annonce_a_veille_ex_pct,chute_reelle_fcfa,chute_reelle_pct_du_dividende,variation_ex_a_paiement_pct,variation_totale_annonce_a_paiement_pct,volume_moyen_avant_annonce,volume_moyen_annonce_a_ex,volume_moyen_ex_a_paiement
PALC,2024,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2025-06-30,2025-09-08,2025-09-10,,,,0,,,,,,,,,,,,
PALC,2025,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2026-06-19,2026-06-26,2026-06-29,,,,0,,,,,,,,,,,,
PRSC,2021,True,,2022-06-30,2022-08-26,2022-08-30,224.0,5.34,DIVIDEND_HISTORY,0,3545.0,3630.0,3650.0,3700.0,2.4,-20.0,-8.9,1.37,4.37,1124.0,513.0,121.0
PRSC,2022,True,,2023-06-26,2023-09-11,2023-09-13,183.0,5.73,DIVIDEND_HISTORY,0,2890.0,3350.0,3350.0,3300.0,15.92,0.0,0.0,-1.49,14.19,319.0,377.0,1100
PRSC,2023,False,prix manquant sur une des 4 dates clés (annonce/veille-ex/ex/paiement),2024-06-21,2024-09-20,2024-09-24,182.0,9.59,DIVIDEND_HISTORY,0,,,,,,,,,,,,
PRSC,2024,False,prix manquant sur une des 4 dates clés (annonce/veille-ex/ex/paiement),2025-06-30,2025-09-26,2025-09-30,184.0,8.36,DIVIDEND_HISTORY,0,,,,,,,,,,,,
SAFC,,False,aucun événement dividende (AG/EX_DIVIDEND) trouvé pour ce ticker,,,,,,,,,,,,,,,,,,,
SCRC,,False,aucun événement dividende (AG/EX_DIVIDEND) trouvé pour ce ticker,,,,,,,,,,,,,,,,,,,
SDCC,,False,aucun événement dividende (AG/EX_DIVIDEND) trouvé pour ce ticker,,,,,,,,,,,,,,,,,,,
SDSC,2021,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2022-05-31,2022-06-21,2022-06-23,,,,0,,,,,,,,,,,,
SDSC,2022,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2023-10-20,2023-11-16,2023-11-20,,,,0,,,,,,,,,,,,
